,segment_id,chromosome,start,end,file_path,t1,t2,averaged,solved,fully_solved,t1_norm,t2_norm,t1_norm_cumsum,t2_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:21348001-34434739,chr1,21348001,34434739,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,0,[1.0],13086738
1,chr1:34434740-182140000,chr1,34434740,182140000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,10,,False,True,False,1.0,,1.0,,1,1,[1.0],147705260
2,chr2:1-242193529,chr2,1,242193529,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,51/2,,False,True,False,1.0,,1.0,,1,1,[1.0],242193528
3,chr3:98056001-141820996,chr3,98056001,141820996,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,13/2,,False,True,False,1.0,,1.0,,1,1,[1.0],43764995
4,chr3:149976001-197569425,chr3,149976001,197569425,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9/2,,False,True,False,1.0,,1.0,,1,1,[1.0],47593424
5,chr4:3566501-108720000,chr4,3566501,108720000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9,,False,True,False,1.0,,1.0,,1,1,[1.0],105153499
6,chr4:112664001-158273000,chr4,112664001,158273000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,5,1/3,False,True,False,0.9375,0.0625,0.9375,1.0,2,1,"[0.9375, 1.0]",45608999
7,chr5:1-180608000,chr5,1,180608000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,13,,False,True,False,1.0,,1.0,,1,1,[1.0],180607999
8,chr6:63274001-100423790,chr6,63274001,100423790,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,0,[1.0],37149789
9,chr7:18707001-141019000,chr7,18707001,141019000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9,,False,True,False,1.0,,1.0,,1,1,[1.0],122311999
10,chr7:144459001-158596000,chr7,144459001,158596000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,7,,False,True,False,1.0,,1.0,,1,1,[1.0],14136999
11,chr9:471983-87898000,chr9,471983,87898000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,13/2,,False,True,False,1.0,,1.0,,1,1,[1.0],87426017
12,chr9:98268001-124531000,chr9,98268001,124531000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5/2,,False,True,False,1.0,,1.0,,1,1,[1.0],26262999
13,chr10:6086001-23125000,chr10,6086001,23125000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,5/3,False,True,False,0.0,1.0,0.0,1.0,2,1,"[0.0, 1.0]",17038999
14,chr10:25397001-130200500,chr10,25397001,130200500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,1,[1.0],104803499
15,chr11:4204001-82841000,chr11,4204001,82841000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,15/2,,False,True,False,1.0,,1.0,,1,1,[1.0],78636999
