,segment_id,chromosome,start,end,file_path,t1,t2,t3,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:1226935-76309328,chr1,1226935,76309328,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,11/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],75082393
1,chr1:123605523-218954108,chr1,123605523,218954108,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,10/3,,False,True,False,0.0,1.0,,0.0,1.0,,2,1,"[0.0, 1.0]",95348585
2,chr1:226105631-247500000,chr1,226105631,247500000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,0,0,3/2,False,True,False,0.0,0.0,1.0,0.0,0.0,1.0,3,1,"[0.0, 0.0, 1.0]",21394369
3,chr2:1-36544251,chr2,1,36544251,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],36544250
4,chr2:53641001-93139350,chr2,53641001,93139350,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],39498349
5,chr2:93139351-141612965,chr2,93139351,141612965,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],48473614
6,chr2:155794001-202053889,chr2,155794001,202053889,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,7/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],46259888
7,chr3:55194815-119277957,chr3,55194815,119277957,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,11/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],64083142
8,chr4:8407517-153721331,chr4,8407517,153721331,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,15,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],145313814
9,chr4:157089001-186473018,chr4,157089001,186473018,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],29384017
10,chr5:21441311-31218000,chr5,21441311,31218000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,5/3,,False,True,False,0.0,1.0,,0.0,1.0,,2,1,"[0.0, 1.0]",9776689
11,chr5:40846001-177284940,chr5,40846001,177284940,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,9,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],136438939
12,chr6:65007692-142210521,chr6,65007692,142210521,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],77202829
13,chr7:19316464-25251002,chr7,19316464,25251002,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,0.25,0.5,0.75,True,True,False,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5,1.0,2,2,"[0.16666666666666666, 0.5, 1.0]",5934538
14,chr7:37608167-127475534,chr7,37608167,127475534,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],89867367
15,chr8:1-64572000,chr8,1,64572000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,13/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],64571999
16,chr8:107542001-130452000,chr8,107542001,130452000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,2/3,,False,True,False,0.75,0.25,,0.75,1.0,,2,1,"[0.75, 1.0]",22909999
17,chr9:7043447-68543000,chr9,7043447,68543000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],61499553
