,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,t6,t7,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t6_norm,t7_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,t6_norm_cumsum,t7_norm_cumsum,major,minor,breakpoints,seg_length
0,chr2:6766001-41549000,chr2,6766001,41549000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,4.00000347,0.50001615,0.0,,,,,False,True,False,0.8888857844579798,0.11111421554202024,0.0,,,,,0.8888857844579798,1.0,1.0,,,,,3,0,"[0.8888857844579798, 1.0, 1.0]",34782999
1,chr2:78678167-114006000,chr2,78678167,114006000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,4,1/2,,,,,,False,True,False,0.8888888888888888,0.1111111111111111,,,,,,0.8888888888888888,1.0,,,,,,2,0,"[0.8888888888888888, 1.0]",35327833
2,chr2:136465001-227621000,chr2,136465001,227621000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,5,0,,,,,,False,True,False,1.0,0.0,,,,,,1.0,1.0,,,,,,2,0,"[1.0, 1.0]",91155999
3,chr3:115842001-134520000,chr3,115842001,134520000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,3.00020081,1.99992653,0.0,,,,,False,True,False,0.6000248805663417,0.39997511943365827,0.0,,,,,0.6000248805663417,1.0,1.0,,,,,3,0,"[0.6000248805663417, 1.0, 1.0]",18677999
4,chr3:148852001-176843000,chr3,148852001,176843000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.1_solutions_downsized.sobj,2.99999394,0.49989372,0.66667273,0.24995126,0.0,0.0,,False,True,False,0.6792677519598527,0.11318745643974469,0.1509500671191482,0.05659472448125434,0.0,0.0,,0.6792677519598527,0.7924552083995974,0.9434052755187456,1.0,1.0,1.0,,6,0,"[0.6792677519598527, 0.7924552083995974, 0.9434052755187456, 1.0, 1.0, 1.0]",27990999
5,chr3:178709535-198295559,chr3,178709535,198295559,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//7_0.9_solutions_downsized.sobj,0.99999945,0.99972402,0.33333363,0.24994750571428573,0.0,0.0,0.0,False,True,False,0.38714582536466957,0.387039193731342,0.12904879428498822,0.09676618661900024,0.0,0.0,0.0,0.38714582536466957,0.7741850190960116,0.9032338133809998,1.0,1.0,1.0,1.0,7,0,"[0.38714582536466957, 0.7741850190960116, 0.9032338133809998, 1.0, 1.0, 1.0, 1.0]",19586024
6,chr4:4581001-94166500,chr4,4581001,94166500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,13,1,,,,,,False,True,False,0.9285714285714286,0.07142857142857142,,,,,,0.9285714285714286,1.0,,,,,,2,0,"[0.9285714285714286, 1.0]",89585499
7,chr4:118211001-182885000,chr4,118211001,182885000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,5.0001857,1.99999282,0.0,,,,,False,True,False,0.7142940263186317,0.2857059736813683,0.0,,,,,0.7142940263186317,1.0,1.0,,,,,3,0,"[0.7142940263186317, 1.0, 1.0]",64673999
8,chr5:52645001-62721000,chr5,52645001,62721000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,3/2,,,,,,False,True,False,0.5714285714285714,0.42857142857142855,,,,,,0.5714285714285714,1.0,,,,,,2,0,"[0.5714285714285714, 1.0]",10075999
9,chr5:64627001-153985000,chr5,64627001,153985000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,6,1/2,,,,,,False,True,False,0.9230769230769231,0.07692307692307693,,,,,,0.9230769230769231,1.0,,,,,,2,0,"[0.9230769230769231, 1.0]",89357999
