,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:833902-24317727,chr1,833902,24317727,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,9,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],23483825
1,chr1:33611434-38827000,chr1,33611434,38827000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,0,0,5/4,,False,True,False,0.0,0.0,1.0,,0.0,0.0,1.0,,3,1,"[0.0, 0.0, 1.0]",5215566
2,chr1:96751548-103544261,chr1,96751548,103544261,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.5,0.0,0.0,,False,True,False,1.0,0.0,0.0,,1.0,1.0,1.0,,2,2,"[1.0, 1.0, 1.0]",6792713
3,chr1:150011585-156229600,chr1,150011585,156229600,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.1_solutions_downsized.sobj,0.0,0.0,0.0,1.2,False,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,2,"[0.0, 0.0, 0.0, 1.0]",6218015
4,chr1:150011585-156229600,chr1,150011585,156229600,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.2_solutions_downsized.sobj,0.0,0.0,0.0,1.2,False,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,2,"[0.0, 0.0, 0.0, 1.0]",6218015
5,chr1:156232945-178993971,chr1,156232945,178993971,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.0,1.0,0.5,,True,True,False,0.4,0.4,0.2,,0.4,0.8,1.0,,2,2,"[0.4, 0.8, 1.0]",22761026
6,chr1:229418694-247454000,chr1,229418694,247454000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,4/3,,,False,True,False,0.4285714285714286,0.5714285714285715,,,0.4285714285714286,1.0,,,2,1,"[0.4285714285714286, 1.0]",18035306
7,chr2:24841001-42361120,chr2,24841001,42361120,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,2,,,False,True,False,0.3333333333333333,0.6666666666666666,,,0.3333333333333333,1.0,,,2,1,"[0.3333333333333333, 1.0]",17520119
8,chr2:175117725-196554652,chr2,175117725,196554652,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,2,1,1/3,,False,True,False,0.6,0.3,0.09999999999999999,,0.6,0.8999999999999999,0.9999999999999999,,3,0,"[0.6, 0.8999999999999999, 0.9999999999999999]",21436927
9,chr2:207580214-241359192,chr2,207580214,241359192,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,0,1,2,,False,True,False,0.0,0.3333333333333333,0.6666666666666666,,0.0,0.3333333333333333,1.0,,3,0,"[0.0, 0.3333333333333333, 1.0]",33778978
10,chr3:8190001-22017331,chr3,8190001,22017331,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.8_solutions_downsized.sobj,,,,,,False,False,,,,,,,,,6,0,[],13827330
11,chr3:102567001-127866910,chr3,102567001,127866910,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,7/2,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],25299909
