chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	1371859	3.7596	422	0.7209	0.81	TELOMERE	DEL	BAF_WEIGHTED	162	0.6123	1	1	1	3
chr1	1371860	1371900	3.2753	0	0	0.9297	DEL	DEL	STRUCTURAL_VARIANT	0	0	1371860	1371860	0	3
chr1	1371901	1439400	3.9464	29	0.6667	0.7304	DEL	DEL	BAF_WEIGHTED	37	0.5738	1371901	1371901	1	3
chr1	1439401	1439571	2.8291	0	0	0.632	DEL	DEL	STRUCTURAL_VARIANT	0	0	1439401	1439401	1	2
chr1	1439572	2642000	3.9691	1022	0.6722	0.7377	DEL	NONE	BAF_WEIGHTED	606	0.5682	1439572	1439572	1	3
chr1	2642001	4511486	3.195	2142	0.6672	0.7462	NONE	BND	BAF_WEIGHTED	1270	0.5312	2639001	2645001	1	2
chr1	4511487	4511506	2.9066	0	0	0.721	BND	BND	STRUCTURAL_VARIANT	0	0	4511487	4511487	1	2
chr1	4511507	6220459	3.4416	1861	0.6718	0.7482	BND	DUP	BAF_WEIGHTED	1570	0.4839	4511507	4511507	1	3
chr1	6220460	6224285	5.7554	0	0	0.8494	DUP	DUP	BAF_WEIGHTED	3	0.4877	6220460	6220460	1	5
chr1	6224286	8342909	3.8606	1697	0.6738	0.7425	DUP	DUP	BAF_WEIGHTED	1940	0.4827	6224286	6224286	1	3
chr1	8342910	8351971	4.6178	2	0.6744	0.7313	DUP	DUP	BAF_WEIGHTED	7	0.5647	8342910	8342910	1	3
chr1	8351972	8791530	4.346	198	0.6667	0.7246	DUP	DUP	BAF_WEIGHTED	401	0.4175	8351972	8351972	1	3
chr1	8791531	8908834	5.4359	106	0.5782	0.5999	DUP	DUP	BAF_WEIGHTED	110	0.4693	8791531	8791531	2	3
chr1	8908835	9648615	4.2	683	0.6781	0.742	DUP	DUP	BAF_WEIGHTED	684	0.5038	8908835	8908835	1	3
chr1	9648616	9652588	4.9438	0	0	0.6108	DUP	DUP	BAF_WEIGHTED	3	0.537	9648616	9648616	2	3
chr1	9652589	11292000	4.0949	1001	0.6734	0.7374	DUP	NONE	BAF_WEIGHTED	1521	0.4796	9652589	9652589	1	3
chr1	11292001	11502326	3.4494	248	0.6667	0.7396	NONE	DEL	BAF_WEIGHTED	200	0.511	11292001	11292001	1	3
chr1	11502327	11502359	2.3803	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	11502327	11502327	0	2
chr1	11502360	11865308	3.7428	220	0.6848	0.7598	DEL	DEL	BAF_WEIGHTED	330	0.5184	11502360	11502360	1	3
chr1	11865309	11865349	1.8719	0	0	0.5986	DEL	DEL	STRUCTURAL_VARIANT	0	0	11865309	11865309	1	1
chr1	11865350	12358199	4.0169	323	0.6607	0.7211	DEL	DUP	BAF_WEIGHTED	463	0.4909	11865350	11865350	1	3
chr1	12358200	12359862	5.2661	0	0	0.55	DUP	DUP	STRUCTURAL_VARIANT	0	0	12358200	12358200	2	3
chr1	12359863	12713500	4.1755	191	0.6727	0.7351	DUP	NONE	BAF_WEIGHTED	341	0.4599	12359863	12359863	1	3
chr1	12713501	13556078	3.49	472	0.6693	0.7425	NONE	BND	BAF_WEIGHTED	237	0.4663	12713001	12714001	1	3
chr1	13556079	15489839	2.9191	1965	0.8332	1.0055	BND	DUP	BAF_WEIGHTED	1844	0.4583	13556079	13556079	0	3
chr1	15489840	15643809	3.9335	141	0.8597	0.9989	DUP	DUP	BAF_WEIGHTED	147	0.4565	15489840	15489840	0	4
chr1	15643810	16506000	3.1223	547	0.831	0.991	DUP	NONE	BAF_WEIGHTED	738	0.4955	15643810	15643810	0	3
