chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	2617500	3.497	650	0.6496	0.7086	TELOMERE	NONE	BAF_WEIGHTED	796	0.5792	1	1	1	2
chr1	2617501	3056000	2.3041	114	0.6364	0.7187	NONE	NONE	BAF_WEIGHTED	201	0.556	2617001	2618001	1	2
chr1	3056001	3919000	3.0072	566	0.6268	0.6854	NONE	NONE	BAF_WEIGHTED	522	0.5717	3056001	3056001	1	2
chr1	3919001	5878000	2.2569	1433	0.6316	0.7126	NONE	NONE	BAF_WEIGHTED	1856	0.4762	3919001	3919001	1	2
chr1	5878001	6384000	3.1795	199	0.625	0.6796	NONE	NONE	BAF_WEIGHTED	409	0.5386	5878001	5878001	1	2
chr1	6384001	6635000	4.6683	131	0.6944	0.7523	NONE	NONE	BAF_WEIGHTED	179	0.5452	6384001	6384001	1	4
chr1	6635001	6913000	3.4163	100	0.6132	0.6593	NONE	NONE	BAF_WEIGHTED	270	0.4433	6635001	6635001	1	2
chr1	6913001	7931000	2.9129	494	0.6305	0.6928	NONE	NONE	BAF_WEIGHTED	962	0.4808	6913001	6913001	1	2
chr1	7931001	11035257	3.6304	919	0.6326	0.6827	NONE	DUP	BAF_WEIGHTED	2898	0.475	7931001	7931001	1	2
chr1	11035258	11052602	3.9925	20	0.5857	0.6156	DUP	DUP	BAF_WEIGHTED	11	0.5293	11035258	11035258	2	2
chr1	11052603	17379500	3.3217	3599	0.6316	0.6871	DUP	NONE	BAF_WEIGHTED	4973	0.4775	11052603	11052603	1	2
chr1	17379501	17438500	2.4535	1	0.8889	1.1092	NONE	NONE	BAF_WEIGHTED	55	0.5169	17379001	17380001	0	2
chr1	17438501	17686000	3.7111	45	0.6154	0.6586	NONE	NONE	BAF_WEIGHTED	236	0.5247	17437001	17440001	1	2
chr1	17686001	18867000	2.874	695	0.6296	0.6923	NONE	NONE	BAF_WEIGHTED	1161	0.4938	17686001	17686001	1	2
chr1	18867001	27104380	3.4166	3750	0.625	0.6758	NONE	DUP	BAF_WEIGHTED	7550	0.4765	18867001	18867001	1	2
chr1	27104381	27450379	4.5926	122	0.5728	0.5645	DUP	DUP	BAF_WEIGHTED	314	0.4882	27104381	27104381	2	3
chr1	27450380	28541078	3.6527	110	0.6296	0.6789	DUP	DUP	BAF_WEIGHTED	1032	0.4618	27450380	27450380	1	2
chr1	28541079	28778235	5.6886	87	0.7586	0.8218	DUP	DUP	BAF_WEIGHTED	218	0.4645	28541079	28541079	1	5
chr1	28778236	29350000	3.2526	186	0.6026	0.6465	DUP	NONE	BAF_WEIGHTED	544	0.4638	28778236	28778236	1	2
chr1	29350001	30673000	2.4074	992	0.625	0.6972	NONE	NONE	BAF_WEIGHTED	1238	0.4784	29350001	29350001	1	2
chr1	30673001	31003000	3.5159	95	0.6316	0.6836	NONE	NONE	BAF_WEIGHTED	315	0.4921	30673001	30673001	1	2
chr1	31003001	31048000	2.7921	28	0.8297	0.9939	NONE	NONE	BAF_WEIGHTED	45	0.4057	31003001	31003001	0	3
chr1	31048001	31456373	3.3575	158	0.6364	0.6929	NONE	BND	BAF_WEIGHTED	397	0.466	31048001	31048001	1	2
chr1	31456374	31764641	6.1942	168	0.589	0.6089	BND	DUP	BAF_WEIGHTED	272	0.5023	31456374	31456374	2	4
chr1	31764642	31785256	7.7861	8	0.5533	0.5137	DUP	DUP	BAF_WEIGHTED	18	0.5358	31764642	31764642	4	4
chr1	31785257	33485000	6.0376	410	0.5946	0.6164	DUP	NONE	BAF_WEIGHTED	1606	0.4682	31785257	31785257	2	4
chr1	33485001	35162000	5.2825	748	0.6	0.6263	NONE	NONE	BAF_WEIGHTED	1580	0.4473	33485001	33485001	2	3
chr1	35162001	35583179	6.2924	5	0.6	0.6221	NONE	DUP	BAF_WEIGHTED	409	0.4157	35162001	35162001	2	4
chr1	35583180	36505000	8.5778	132	0.7006	0.7313	DUP	NONE	BAF_WEIGHTED	882	0.4573	35583180	35583180	2	6
chr1	36505001	36985984	7.3368	152	0.6806	0.7152	NONE	DUP	BAF_WEIGHTED	465	0.4906	36505001	36505001	2	5
chr1	36985985	38787000	5.2216	902	0.5966	0.6227	DUP	NONE	BAF_WEIGHTED	1708	0.4668	36985985	36985985	2	3
chr1	38787001	42245329	6.0649	1650	0.5952	0.617	NONE	DEL	BAF_WEIGHTED	3225	0.4505	38787001	38787001	2	4
