chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	19471867	1.9759	10555	0.5661	0.5279	TELOMERE	DEL	BAF_WEIGHTED	15081	0.4949	1	1	1	1
chr1	19471868	19471922	1.0271	0	0	0.9083	DEL	DEL	STRUCTURAL_VARIANT	0	0	19471868	19471868	0	1
chr1	19471923	36585859	2.1344	6927	0.5598	0.5318	DEL	DEL	BAF_WEIGHTED	15914	0.4692	19471923	19471923	1	1
chr1	36585860	36585896	1.4819	0	0	0.6743	DEL	DEL	STRUCTURAL_VARIANT	0	0	36585860	36585860	0	1
chr1	36585897	48464188	2.1364	5297	0.5625	0.5319	DEL	DEL	BAF_WEIGHTED	10964	0.4548	36585897	36585897	1	1
chr1	48464189	48464228	1.4272	0	0	0.7007	DEL	DEL	STRUCTURAL_VARIANT	0	0	48464189	48464189	0	1
chr1	48464229	54489673	2.0892	1829	0.5625	0.5213	DEL	BND	BAF_WEIGHTED	5688	0.4231	48464229	48464229	1	1
chr1	54489674	54489939	3.1658	0	0	0.6841	BND	BND	STRUCTURAL_VARIANT	0	0	54489674	54489674	1	2
chr1	54489940	67636764	2.0624	6754	0.5641	0.5151	BND	DEL	BAF_WEIGHTED	12467	0.4043	54489940	54489940	1	1
chr1	67636765	67645387	1.0647	0	0	0.9393	DEL	DEL	BAF_WEIGHTED	8	0.395	67636765	67636765	0	1
chr1	67645388	77738948	2.0869	4854	0.5618	0.5208	DEL	DEL	BAF_WEIGHTED	9477	0.3691	67645388	67645388	1	1
chr1	77738949	77739303	0.6224	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	77738949	77738949	0	1
chr1	77739304	78812571	2.0488	289	0.5769	0.6582	DEL	DUP	BAF_WEIGHTED	1001	0.379	77739304	77739304	1	1
chr1	78812572	78813350	2.8879	0	0	0.7319	DUP	DEL	STRUCTURAL_VARIANT	0	0	78812572	78812572	1	2
chr1	78813351	80358688	2.1675	1344	0.5714	0.6428	DEL	DEL	BAF_WEIGHTED	1442	0.3525	78813351	78813351	1	1
chr1	80358689	80358734	0.9457	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	80358689	80358689	0	1
chr1	80358735	98561154	2.0984	7732	0.5641	0.5235	DEL	DEL	BAF_WEIGHTED	16790	0.3821	80358735	80358735	1	1
chr1	98561155	98561232	0.7439	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	98561155	98561155	0	1
