chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	1932000	2.2116	366	0.736	0.9942	TELOMERE	NONE	BAF_WEIGHTED	392	0.5618	1	1	0	2
chr1	1932001	2183000	1.7498	186	0.7321	1.0434	NONE	NONE	BAF_WEIGHTED	172	0.5612	1932001	1932001	0	2
chr1	2183001	2616000	2.4941	266	0.7234	0.9337	NONE	NONE	BAF_WEIGHTED	168	0.6007	2183001	2183001	0	2
chr1	2616001	3128262	1.4899	249	0.725	1.0796	NONE	DEL	BAF_WEIGHTED	234	0.5635	2616001	2616001	0	1
chr1	3128263	3128298	0.505	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	3128263	3128263	0	1
chr1	3128299	3447000	1.5754	247	0.7097	1.0222	DEL	NONE	BAF_WEIGHTED	226	0.5701	3128299	3128299	0	2
chr1	3447001	3940000	2.0558	246	0.7368	1.0072	NONE	NONE	BAF_WEIGHTED	283	0.5659	3447001	3447001	0	2
chr1	3940001	6186500	1.5994	1874	0.7182	1.0432	NONE	NONE	BAF_WEIGHTED	2095	0.4843	3940001	3940001	0	2
chr1	6186501	6922000	2.1654	333	0.725	0.969	NONE	NONE	BAF_WEIGHTED	615	0.5046	6186001	6187001	0	2
chr1	6922001	7928000	1.7583	753	0.7222	1.0189	NONE	NONE	BAF_WEIGHTED	951	0.481	6922001	6922001	0	2
chr1	7928001	8372000	2.293	289	0.7222	0.9497	NONE	NONE	BAF_WEIGHTED	430	0.4653	7928001	7928001	0	2
chr1	8372001	8766000	2.7418	240	0.7211	0.9104	NONE	NONE	BAF_WEIGHTED	362	0.4104	8372001	8372001	0	2
chr1	8766001	11296000	2.1089	959	0.7258	0.9754	NONE	NONE	BAF_WEIGHTED	2350	0.4857	8766001	8766001	0	2
chr1	11296001	11637000	1.5986	249	0.72	1.0431	NONE	NONE	BAF_WEIGHTED	321	0.5096	11296001	11296001	0	2
chr1	11637001	12670000	2.2251	668	0.7181	0.954	NONE	NONE	BAF_WEIGHTED	973	0.4896	11637001	11637001	0	2
chr1	12670001	13697000	1.771	483	0.7143	0.9984	NONE	NONE	BAF_WEIGHTED	409	0.4556	12670001	12670001	0	2
chr1	13697001	13802000	2.7231	39	0.7234	0.916	NONE	NONE	BAF_WEIGHTED	102	0.4174	13697001	13697001	0	2
chr1	13802001	15085000	1.9252	1027	0.7179	0.9836	NONE	NONE	BAF_WEIGHTED	1245	0.4545	13802001	13802001	0	2
chr1	15085001	16947878	2.3028	1248	0.7297	0.9639	NONE	DEL	BAF_WEIGHTED	1267	0.4884	15085001	15085001	0	2
chr1	16947879	16953230	1.5554	0	0	0.9465	DEL	DEL	BAF_WEIGHTED	1	0.526	16947879	16947879	0	1
chr1	16953231	17436784	2.0785	268	0.75	1.0324	DEL	DEL	BAF_WEIGHTED	457	0.505	16953231	16953231	0	2
chr1	17436785	17438034	1.0459	0	0	1.0644	DEL	DEL	STRUCTURAL_VARIANT	0	0.621	17436785	17436785	0	1
chr1	17438035	17438242	2.1874	0	0	1.0308	DEL	DEL	STRUCTURAL_VARIANT	0	0	17438035	17438035	0	2
chr1	17438243	17438430	0.6771	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	17438243	17438243	0	1
