chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	1579771	2.3482	216	0.5631	0.5744	TELOMERE	BND	BAF_WEIGHTED	258	0.6015	1	1	1	1
chr1	1579772	10655809	1.0622	4432	0.8383	0.9904	BND	DUP	BAF_WEIGHTED	7504	0.4938	1579772	1579772	0	1
chr1	10655810	10683763	2.3172	20	0.9136	0.9973	DUP	DUP	BAF_WEIGHTED	12	0.6024	10655810	10655810	0	2
chr1	10683764	11711817	1.1232	528	0.8541	1.0029	DUP	DEL	BAF_WEIGHTED	938	0.5056	10683764	10683764	0	1
chr1	11711818	11711852	0.4758	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	11711818	11711818	0	0
chr1	11711853	15889804	1.0957	1759	0.8449	0.9927	DEL	DEL	BAF_WEIGHTED	3415	0.4678	11711853	11711853	0	1
chr1	15889805	15889837	0.2194	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	15889805	15889805	0	0
chr1	15889838	17409688	1.1553	738	0.8447	0.9861	DEL	DUP	BAF_WEIGHTED	976	0.5014	15889838	15889838	0	1
chr1	17409689	17433331	2.2956	0	0	0.9969	DUP	DUP	BAF_WEIGHTED	23	0.5068	17409689	17409689	0	2
chr1	17433332	24191621	1.0952	2708	0.8435	0.9936	DUP	BND	BAF_WEIGHTED	6338	0.4806	17433332	17433332	0	1
chr1	24191622	29310000	2.2868	2079	0.5556	0.5617	BND	NONE	BAF_WEIGHTED	4684	0.4727	24191622	24191622	1	1
chr1	29310001	30795381	1.8369	758	0.5593	0.5475	NONE	BND	BAF_WEIGHTED	1389	0.4832	29310001	29310001	1	1
chr1	30795382	30806591	3.4573	4	0.6534	0.6742	BND	BND	BAF_WEIGHTED	10	0.5169	30795382	30795382	1	2
chr1	30806592	31553206	2.1972	219	0.5556	0.5449	BND	DEL	BAF_WEIGHTED	723	0.4611	30806592	30806592	1	1
chr1	31553207	31553238	1.4881	0	0	0.648	DEL	DEL	STRUCTURAL_VARIANT	0	0	31553207	31553207	1	1
chr1	31553239	47472000	2.1324	5829	0.5564	0.5478	DEL	NONE	BAF_WEIGHTED	14784	0.4563	31553239	31553239	1	1
chr1	47472001	50287000	1.7603	452	0.5536	0.5681	NONE	NONE	BAF_WEIGHTED	2607	0.4123	47472001	47472001	1	1
chr1	50287001	58312320	2.0859	3763	0.5565	0.5337	NONE	DUP	BAF_WEIGHTED	7641	0.427	50287001	50287001	1	1
chr1	58312321	58316863	2.8587	2	0.6139	0.6327	DUP	DUP	BAF_WEIGHTED	3	0.42	58312321	58312321	1	2
chr1	58316864	59572028	2.1255	517	0.558	0.5321	DUP	DUP	BAF_WEIGHTED	1176	0.4135	58316864	58316864	1	1
chr1	59572029	60530351	2.9007	260	0.64	0.6626	DUP	DEL	BAF_WEIGHTED	885	0.3827	59572029	59572029	1	2
chr1	60530352	60531077	1.5619	0	0	0.6265	DEL	DEL	STRUCTURAL_VARIANT	0	0	60530352	60530352	1	1
chr1	60531078	60531257	3.3077	0	0	0.7042	DEL	BND	STRUCTURAL_VARIANT	0	0	60531078	60531078	1	2
chr1	60531258	60655000	2.0613	30	0.5497	0.5149	BND	NONE	BAF_WEIGHTED	112	0.3742	60531258	60531258	1	1
chr1	60655001	65060068	2.9337	1847	0.6269	0.6474	NONE	DUP	BAF_WEIGHTED	4243	0.404	60655001	60655001	1	2
chr1	65060069	65675525	2.0719	223	0.5526	0.5173	DUP	DUP	BAF_WEIGHTED	552	0.3983	65060069	65060069	1	1
chr1	65675526	65692897	3.1755	34	0.6102	0.6265	DUP	DUP	BAF_WEIGHTED	12	0.3933	65675526	65675526	1	2
chr1	65692898	77905503	1.9527	6026	0.5584	0.5412	DUP	DEL	BAF_WEIGHTED	11473	0.3723	65692898	65692898	1	1
chr1	77905504	77905537	1.4996	0	0	0.5974	DEL	DEL	STRUCTURAL_VARIANT	0	0	77905504	77905504	1	1
