chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	6178000	2.849	3121	0.656	0.9272	TELOMERE	NONE	BAF_WEIGHTED	3501	0.5235	1	1	0	3
chr1	6178001	6924000	2.0245	382	0.6452	0.9964	NONE	NONE	BAF_WEIGHTED	623	0.5052	6178001	6178001	0	2
chr1	6924001	7896000	2.7158	424	0.6517	0.9252	NONE	NONE	BAF_WEIGHTED	918	0.4822	6924001	6924001	0	3
chr1	7896001	8650454	1.4755	322	0.6518	1.1541	NONE	INV	BAF_WEIGHTED	715	0.4459	7896001	7896001	0	1
chr1	8650455	11284000	0.6482	994	0.5932	1	INV	NONE	BAF_WEIGHTED	2445	0.4823	8650455	8650455	0	1
chr1	11284001	11905000	1.282	398	0.6	0.982	NONE	NONE	BAF_WEIGHTED	576	0.5154	11284001	11284001	0	1
chr1	11905001	12633000	0.4529	417	0.6	1	NONE	NONE	BAF_WEIGHTED	693	0.4785	11905001	11905001	0	0
chr1	12633001	13698000	1.3153	499	0.6	0.9723	NONE	NONE	BAF_WEIGHTED	447	0.4566	12633001	12633001	0	1
chr1	13698001	13800000	-0.0745	60	0.6112	1	NONE	NONE	BAF_WEIGHTED	99	0.4155	13698001	13698001	0	0
chr1	13800001	15123000	1.2395	1035	0.5926	0.9584	NONE	NONE	BAF_WEIGHTED	1284	0.4559	13800001	13800001	0	1
chr1	15123001	16506000	0.53	982	0.5955	1	NONE	NONE	BAF_WEIGHTED	1207	0.488	15123001	15123001	0	1
chr1	16506001	17675000	0.8849	704	0.5926	1	NONE	NONE	BAF_WEIGHTED	685	0.5115	16506001	16605001	0	1
chr1	17675001	18884000	1.4368	742	0.5926	0.9082	NONE	NONE	BAF_WEIGHTED	1186	0.4952	17675001	17675001	0	1
chr1	18884001	19665500	0.4688	437	0.6	1	NONE	NONE	BAF_WEIGHTED	743	0.4799	18884001	18884001	0	0
chr1	19665501	20615000	1.0302	441	0.6	1.0753	NONE	NONE	BAF_WEIGHTED	919	0.4737	19664001	19667001	0	1
chr1	20615001	22126000	0.5418	836	0.5909	1	NONE	NONE	BAF_WEIGHTED	1285	0.4685	20615001	20615001	0	1
chr1	22126001	23013000	1.0922	436	0.6	1.0483	NONE	NONE	BAF_WEIGHTED	854	0.4992	22126001	22126001	0	1
chr1	23013001	23189000	0.3052	48	0.6111	1	NONE	NONE	BAF_WEIGHTED	172	0.4209	23013001	23013001	0	0
chr1	23189001	29273000	1.7913	2544	0.5803	0.8006	NONE	NONE	BAF_WEIGHTED	5604	0.4723	23189001	23189001	0	1
chr1	29273001	30683000	3.0085	1020	0.5714	0.6648	NONE	NONE	BAF_WEIGHTED	1319	0.4798	29273001	29273001	1	2
chr1	30683001	33484000	1.8601	935	0.5758	0.5376	NONE	NONE	BAF_WEIGHTED	2645	0.4742	30683001	30683001	1	1
chr1	33484001	34968000	2.848	804	0.5682	0.7022	NONE	NONE	BAF_WEIGHTED	1411	0.4504	33484001	33484001	1	2
chr1	34968001	36490000	1.8045	102	0.5789	0.793	NONE	NONE	BAF_WEIGHTED	1448	0.4422	34967001	34969001	0	1
chr1	36490001	37454000	3.0029	310	0.5714	0.666	NONE	NONE	BAF_WEIGHTED	925	0.482	36489001	36491001	1	2
chr1	37454001	38031000	1.9923	386	0.573	0.5019	NONE	NONE	BAF_WEIGHTED	536	0.4746	37454001	37454001	1	1
chr1	38031001	38831000	2.7654	378	0.5682	0.6384	NONE	NONE	BAF_WEIGHTED	769	0.4561	38031001	38031001	1	2
chr1	38831001	39102000	1.903	108	0.56	0.5255	NONE	NONE	BAF_WEIGHTED	261	0.4513	38831001	38831001	1	1
chr1	39102001	39286000	0.9405	92	0.5638	0.5777	NONE	NONE	BAF_WEIGHTED	177	0.4255	39102001	39102001	0	1
chr1	39286001	40614734	1.8545	646	0.5797	0.7903	NONE	DEL	BAF_WEIGHTED	1209	0.4411	39286001	39286001	0	1
chr1	40614735	40614783	0.7371	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	40614735	40614735	0	1
chr1	40614784	41649000	1.7902	728	0.5789	0.7947	DEL	NONE	BAF_WEIGHTED	971	0.4709	40614784	40614784	0	1
chr1	41649001	41930000	1.3026	162	0.5759	0.7677	NONE	NONE	BAF_WEIGHTED	277	0.471	41649001	41649001	0	1
chr1	41930001	46727000	2.088	2677	0.5714	0.5211	NONE	NONE	BAF_WEIGHTED	4505	0.4509	41930001	41930001	1	1
chr1	46727001	50428000	2.69	1472	0.5714	0.6283	NONE	NONE	BAF_WEIGHTED	3247	0.4183	46727001	46727001	1	2
