chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	1104841	1.9388	72	0.5936	0.6292	TELOMERE	DUP	BAF_WEIGHTED	69	0.6144	1	1	1	1
chr1	1104842	1161769	2.7286	3	0.5286	0.5703	DUP	DUP	BAF_WEIGHTED	25	0.601	1104842	1104842	1	2
chr1	1161770	1164938	4.0513	0	0	0.7182	DUP	DUP	STRUCTURAL_VARIANT	0	0.6915	1161770	1161770	1	3
chr1	1164939	1226934	2.6565	41	0.5538	0.5703	DUP	DUP	BAF_WEIGHTED	18	0.6039	1164939	1164939	1	2
chr1	1226935	7693000	1.596	3508	0.5824	0.6218	DUP	NONE	BAF_WEIGHTED	4857	0.5133	1226935	1226935	1	1
chr1	7693001	9657723	1.9809	930	0.5814	0.6122	NONE	BND	BAF_WEIGHTED	1848	0.4657	7693001	7693001	1	1
chr1	9657724	9658016	2.8892	0	0	0.767	BND	BND	STRUCTURAL_VARIANT	0	0	9657724	9657724	1	2
chr1	9658017	16628744	1.7313	2676	0.5775	0.6111	BND	INV	BAF_WEIGHTED	5837	0.4767	9658017	9658017	1	1
chr1	16628745	16629142	1.9829	0	0	0.6432	INV	BND	STRUCTURAL_VARIANT	0	0	16628745	16628745	1	1
chr1	16629143	16629381	1.8504	0	0	0.6176	BND	INV	STRUCTURAL_VARIANT	0	0	16629143	16629143	1	1
chr1	16629382	16629469	2.4719	0	0	0.7138	INV	BND	STRUCTURAL_VARIANT	0	0	16629382	16629382	1	2
chr1	16629470	42139304	1.7898	10801	0.5777	0.6047	BND	DUP	BAF_WEIGHTED	23585	0.4698	16629470	16629470	1	1
chr1	42139305	42156019	2.9182	0	0	0.7575	DUP	DUP	BAF_WEIGHTED	15	0.5062	42139305	42139305	1	2
chr1	42156020	44750286	1.8838	788	0.5833	0.616	DUP	DEL	BAF_WEIGHTED	2472	0.4569	42156020	42156020	1	1
chr1	44750287	44750318	1.3933	0	0	0.5199	DEL	DEL	STRUCTURAL_VARIANT	0	0	44750287	44750287	1	1
chr1	44750319	53566872	1.8023	1957	0.5903	0.6288	DEL	INV	BAF_WEIGHTED	8049	0.4267	44750319	44750319	1	1
chr1	53566873	53567063	2.4066	0	0	0.722	INV	INV	STRUCTURAL_VARIANT	0	0	53566873	53566873	1	2
chr1	53567064	55181688	1.8716	785	0.5882	0.6231	INV	DEL	BAF_WEIGHTED	1531	0.4702	53567064	53567064	1	1
chr1	55181689	55182787	1.131	0	0	0.5597	DEL	DEL	STRUCTURAL_VARIANT	0	0	55181689	55181689	0	1
chr1	55182788	57892599	1.7088	1355	0.5903	0.6296	DEL	INV	BAF_WEIGHTED	2613	0.4061	55182788	55182788	1	1
chr1	57892600	57892606	2.9365	0	0	0.7616	INV	INV	STRUCTURAL_VARIANT	0	0	57892600	57892600	1	2
chr1	57892607	61085518	1.8027	1519	0.5821	0.6117	INV	DUP	BAF_WEIGHTED	2977	0.4024	57892607	57892607	1	1
chr1	61085519	61149519	2.9822	24	0.6929	0.7407	DUP	DUP	BAF_WEIGHTED	63	0.3718	61085519	61085519	1	2
chr1	61149520	63018126	1.9236	759	0.5859	0.6192	DUP	DEL	BAF_WEIGHTED	1794	0.4032	61149520	61149520	1	1
chr1	63018127	63018186	1.2942	0	0	0.5745	DEL	DEL	STRUCTURAL_VARIANT	0	0	63018127	63018127	1	1
chr1	63018187	64716531	1.9495	975	0.5859	0.6186	DEL	INV	BAF_WEIGHTED	1638	0.4031	63018187	63018187	1	1
chr1	64716532	64716544	0.7397	0	0	1	INV	INV	STRUCTURAL_VARIANT	0	0	64716532	64716532	0	1
chr1	64716545	66168679	1.8899	928	0.5784	0.6094	INV	DUP	BAF_WEIGHTED	1345	0.3916	64716545	64716545	1	1
chr1	66168680	66212545	3.3538	42	0.6871	0.7284	DUP	DUP	BAF_WEIGHTED	28	0.3664	66168680	66168680	1	2
chr1	66212546	66345678	2.2106	81	0.5833	0.6112	DUP	INV	BAF_WEIGHTED	131	0.3901	66212546	66212546	1	1
chr1	66345679	66399060	2.7641	32	0.6236	0.6567	INV	INV	BAF_WEIGHTED	53	0.3907	66345679	66345679	1	2
