	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4	N5	N6	N7	N11	N8	N12
0	chr10:1-474319	SBS1	4	3	1	1	0	0	0	0	0	0	0	0
1	chr10:1-474319	SBS100	4	3	2	2	0	0	0	0	0	0	0	0
2	chr10:1-474319	SBS2	4	3	1	1	0	0	0	0	0	0	0	0
3	chr10:1-474319	SBS3	4	3	10	3	1	1	0	0	0	0	0	0
4	chr10:100074702-100581000	SBS13	2	1	0	1	0	0	0	0	0	0	0	0
5	chr10:100074702-100581000	SBS3	2	1	1	1	0	0	0	0	0	0	0	0
6	chr10:100581001-100877000	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
7	chr10:100581001-100877000	SBS3	2	1	1	0	0	0	0	0	0	0	0	0
8	chr10:100877001-104460143	SBS1	2	2	0	1	0	0	0	0	0	0	0	0
9	chr10:100877001-104460143	SBS100	2	2	0	1	0	0	0	0	0	0	0	0
10	chr10:100877001-104460143	SBS13	2	2	1	1	0	0	0	0	0	0	0	0
11	chr10:100877001-104460143	SBS2	2	2	0	1	0	0	0	0	0	0	0	0
12	chr10:100877001-104460143	SBS3	2	2	3	9	0	0	0	0	0	0	0	0
13	chr10:104460144-104740546	SBS3	3	1	1	2	0	0	0	0	0	0	0	0
14	chr10:104740547-106774720	SBS13	2	1	1	1	0	0	0	0	0	0	0	0
15	chr10:104740547-106774720	SBS2	2	1	1	0	0	0	0	0	0	0	0	0
16	chr10:104740547-106774720	SBS3	2	1	5	4	0	0	0	0	0	0	0	0
17	chr10:106774721-106778284	SBS3	3	1	0	0	1	0	0	0	0	0	0	0
18	chr10:106778285-107938000	SBS1	2	1	0	1	0	0	0	0	0	0	0	0
19	chr10:106778285-107938000	SBS13	2	1	0	2	0	0	0	0	0	0	0	0
20	chr10:106778285-107938000	SBS2	2	1	1	1	0	0	0	0	0	0	0	0
21	chr10:106778285-107938000	SBS3	2	1	1	3	0	0	0	0	0	0	0	0
22	chr10:107938001-109836000	SBS1	1	1	1	0	0	0	0	0	0	0	0	0
23	chr10:107938001-109836000	SBS13	1	1	4	0	0	0	0	0	0	0	0	0
24	chr10:107938001-109836000	SBS3	1	1	6	0	0	0	0	0	0	0	0	0
25	chr10:109836001-111028000	SBS13	2	2	0	3	0	0	0	0	0	0	0	0
26	chr10:109836001-111028000	SBS3	2	2	1	3	0	0	0	0	0	0	0	0
27	chr10:111028001-112115000	SBS2	2	1	0	2	0	0	0	0	0	0	0	0
28	chr10:111028001-112115000	SBS3	2	1	2	2	0	0	0	0	0	0	0	0
