	segment_id	sig_max	major_cn	minor_cn	N1	N2	N4	N9	N3	N5	N6	N7
0	chr10:1-1181483	SBS1	1	0	1	0	0	0	0	0	0	0
1	chr10:1-1181483	SBS3	1	0	1	0	0	0	0	0	0	0
2	chr10:1-1181483	SBS5	1	0	1	0	0	0	0	0	0	0
3	chr10:101732711-103314938	SBS1	2	0	1	0	0	0	0	0	0	0
4	chr10:101732711-103314938	SBS3	2	0	5	0	0	0	0	0	0	0
5	chr10:103314939-104812532	SBS100	1	0	1	0	0	0	0	0	0	0
6	chr10:103314939-104812532	SBS3	1	0	2	0	0	0	0	0	0	0
7	chr10:103314939-104812532	SBS5	1	0	1	0	0	0	0	0	0	0
8	chr10:104813922-115102448	SBS1	1	0	2	0	0	0	0	0	0	0
9	chr10:104813922-115102448	SBS100	1	0	1	0	0	0	0	0	0	0
10	chr10:104813922-115102448	SBS3	1	0	36	0	0	0	0	0	0	0
11	chr10:104813922-115102448	SBS5	1	0	4	0	0	0	0	0	0	0
12	chr10:10988521-11504211	SBS3	2	0	2	0	0	0	0	0	0	0
13	chr10:11504212-12338331	SBS1	2	2	1	0	0	0	0	0	0	0
14	chr10:11504212-12338331	SBS100	2	2	1	0	0	0	0	0	0	0
15	chr10:11504212-12338331	SBS3	2	2	8	2	0	0	0	0	0	0
16	chr10:115102535-120597564	SBS1	1	0	1	0	0	0	0	0	0	0
17	chr10:115102535-120597564	SBS3	1	0	13	0	0	0	0	0	0	0
18	chr10:1181541-2822577	SBS3	2	0	18	0	0	0	0	0	0	0
19	chr10:120597565-120723181	SBS3	5	1	1	0	1	0	0	0	0	0
20	chr10:120890076-120890110	SBS3	6	1	1	0	0	0	0	0	0	0
21	chr10:120896806-121025572	SBS3	9	1	1	0	0	0	0	0	0	0
22	chr10:120896806-121025572	SBS5	9	1	0	1	0	0	0	0	0	0
23	chr10:121025573-121270104	SBS3	9	1	0	1	0	0	0	0	0	0
24	chr10:121025573-121270104	SBS5	9	1	0	0	0	1	0	0	0	0
25	chr10:121318158-121468931	SBS3	19	1	0	0	0	0	2	0	0	0
26	chr10:121500643-121874453	SBS3	9	1	0	0	0	1	2	0	0	0
27	chr10:121929681-122316540	SBS3	4	1	0	0	0	0	1	0	0	0
28	chr10:121929681-122316540	SBS5	4	1	1	0	0	0	0	0	0	0
29	chr10:122516175-122542230	SBS3	5	1	0	0	0	0	0	1	0	0
30	chr10:122542231-124148258	SBS100	4	1	1	0	0	0	0	0	0	0
31	chr10:122542231-124148258	SBS3	4	1	8	1	2	0	0	0	0	0
32	chr10:12338408-12671274	SBS3	2	2	3	0	0	0	0	0	0	0
33	chr10:124159024-124898430	SBS3	4	1	7	1	0	0	1	0	0	0
34	chr10:124898491-125307829	SBS100	5	1	1	0	0	0	0	0	0	0
35	chr10:124898491-125307829	SBS3	5	1	0	1	0	0	0	1	0	0
36	chr10:124898491-125307829	SBS5	5	1	0	0	0	0	0	1	0	0
37	chr10:125307830-129066526	SBS1	1	0	2	0	0	0	0	0	0	0
38	chr10:125307830-129066526	SBS100	1	0	1	0	0	0	0	0	0	0
39	chr10:125307830-129066526	SBS3	1	0	15	0	0	0	0	0	0	0
40	chr10:12756566-15625794	SBS100	2	2	0	1	0	0	0	0	0	0
41	chr10:12756566-15625794	SBS3	2	2	13	9	0	0	0	0	0	0
42	chr10:12756566-15625794	SBS5	2	2	1	2	0	0	0	0	0	0
43	chr10:129073138-130079899	SBS3	1	0	2	0	0	0	0	0	0	0
44	chr10:130079900-130285269	SBS3	1	1	1	0	0	0	0	0	0	0
45	chr10:130285270-133797422	SBS100	1	0	2	0	0	0	0	0	0	0
46	chr10:130285270-133797422	SBS3	1	0	17	0	0	0	0	0	0	0
47	chr10:130285270-133797422	SBS5	1	0	1	0	0	0	0	0	0	0
48	chr10:15634936-15752694	SBS100	2	1	0	1	0	0	0	0	0	0
49	chr10:15753306-16189158	SBS3	2	2	2	3	0	0	0	0	0	0
50	chr10:15753306-16189158	SBS5	2	2	1	0	0	0	0	0	0	0
51	chr10:16189211-16297778	SBS3	2	2	0	1	0	0	0	0	0	0
52	chr10:16297822-19072423	SBS1	2	2	1	0	0	0	0	0	0	0
53	chr10:16297822-19072423	SBS100	2	2	1	1	0	0	0	0	0	0
54	chr10:16297822-19072423	SBS3	2	2	16	6	0	0	0	0	0	0
55	chr10:16297822-19072423	SBS5	2	2	2	1	0	0	0	0	0	0
56	chr10:19072469-20895181	SBS1	2	2	0	1	0	0	0	0	0	0
57	chr10:19072469-20895181	SBS100	2	2	1	0	0	0	0	0	0	0
58	chr10:19072469-20895181	SBS3	2	2	4	6	0	0	0	0	0	0
59	chr10:19072469-20895181	SBS5	2	2	1	0	0	0	0	0	0	0
60	chr10:20895182-21592799	SBS100	2	1	1	0	0	0	0	0	0	0
61	chr10:20895182-21592799	SBS3	2	1	2	0	0	0	0	0	0	0
62	chr10:21592800-22539064	SBS100	2	2	2	0	0	0	0	0	0	0
