	segment_id	sig_max	major_cn	minor_cn	N2	N1	N3	N4	N5	N6
0	chr10:1-1116000	SBS2	2	1	1	0	0	0	0	0
1	chr10:1-1116000	SBS3	2	1	1	7	0	0	0	0
2	chr10:100801991-104638000	SBS1	3	0	0	0	1	0	0	0
3	chr10:100801991-104638000	SBS2	3	0	0	0	4	0	0	0
4	chr10:100801991-104638000	SBS3	3	0	1	3	6	0	0	0
5	chr10:104638001-107831000	SBS18	2	0	1	0	0	0	0	0
6	chr10:104638001-107831000	SBS3	2	0	5	4	0	0	0	0
7	chr10:107831001-109402000	SBS1	2	0	0	1	0	0	0	0
8	chr10:107831001-109402000	SBS3	2	0	3	4	0	0	0	0
9	chr10:111020001-111373000	SBS18	3	0	0	1	0	0	0	0
10	chr10:11121001-14489000	SBS1	2	1	1	0	0	0	0	0
11	chr10:11121001-14489000	SBS18	2	1	2	0	0	0	0	0
12	chr10:11121001-14489000	SBS2	2	1	1	0	0	0	0	0
13	chr10:11121001-14489000	SBS3	2	1	4	7	0	0	0	0
14	chr10:111373001-112100000	SBS3	2	0	0	1	0	0	0	0
15	chr10:112100001-117462000	SBS1	3	0	0	1	0	0	0	0
16	chr10:112100001-117462000	SBS18	3	0	0	2	0	0	0	0
17	chr10:112100001-117462000	SBS3	3	0	3	1	4	0	0	0
18	chr10:117970001-118673000	SBS3	3	0	1	0	0	0	0	0
19	chr10:118673001-119944000	SBS18	3	0	0	0	1	0	0	0
20	chr10:120664001-122592000	SBS3	3	0	0	1	2	0	0	0
21	chr10:122592001-122860000	SBS18	3	0	1	0	0	0	0	0
22	chr10:122592001-122860000	SBS3	3	0	0	0	1	0	0	0
23	chr10:122860001-126161000	SBS3	3	0	3	0	2	0	0	0
24	chr10:126161001-127884000	SBS18	3	0	0	0	1	0	0	0
25	chr10:126161001-127884000	SBS3	3	0	0	1	4	0	0	0
26	chr10:128231001-129389000	SBS3	2	0	0	3	0	0	0	0
27	chr10:129772001-130106000	SBS3	2	0	1	0	0	0	0	0
28	chr10:130200501-131868000	SBS2	2	0	0	1	0	0	0	0
29	chr10:130200501-131868000	SBS3	2	0	1	2	0	0	0	0
30	chr10:132303001-132602000	SBS1	4	0	0	0	0	1	0	0
31	chr10:132303001-132602000	SBS3	4	0	0	2	1	0	0	0
32	chr10:132602001-133797422	SBS13	3	0	0	1	0	0	0	0
33	chr10:132602001-133797422	SBS3	3	0	0	1	0	0	0	0
34	chr10:14489001-14972000	SBS3	2	1	1	0	0	0	0	0
35	chr10:15252001-15769000	SBS3	1	1	0	2	0	0	0	0
36	chr10:15906001-16392000	SBS3	1	0	0	1	0	0	0	0
37	chr10:17876001-18490000	SBS3	1	1	0	2	0	0	0	0
38	chr10:18490001-20284000	SBS3	2	1	1	1	0	0	0	0
