	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4	N5	N6	N8	N10	N12	N7	N9
0	chr10:1-259000	SBS18	2	1	1	0	0	0	0	0	0	0	0	0	0
1	chr10:1-259000	SBS3	2	1	3	0	0	0	0	0	0	0	0	0	0
2	chr10:1-259000	SBS5	2	1	2	0	0	0	0	0	0	0	0	0	0
3	chr10:100569001-100874000	SBS3	2	0	0	3	0	0	0	0	0	0	0	0	0
4	chr10:101072001-101351000	SBS3	2	0	1	0	0	0	0	0	0	0	0	0	0
5	chr10:101351001-102809000	SBS3	1	0	4	0	0	0	0	0	0	0	0	0	0
6	chr10:102809001-103367000	SBS3	2	0	1	0	0	0	0	0	0	0	0	0	0
7	chr10:103367001-104252000	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0
8	chr10:104651001-109851000	SBS1	2	0	1	0	0	0	0	0	0	0	0	0	0
9	chr10:104651001-109851000	SBS18	2	0	1	1	0	0	0	0	0	0	0	0	0
10	chr10:104651001-109851000	SBS2	2	0	3	0	0	0	0	0	0	0	0	0	0
11	chr10:104651001-109851000	SBS3	2	0	7	3	0	0	0	0	0	0	0	0	0
12	chr10:104651001-109851000	SBS5	2	0	2	1	0	0	0	0	0	0	0	0	0
13	chr10:110616001-110745000	SBS13	1	0	1	0	0	0	0	0	0	0	0	0	0
14	chr10:11101001-12722000	SBS1	2	1	0	2	0	0	0	0	0	0	0	0	0
15	chr10:11101001-12722000	SBS13	2	1	0	1	0	0	0	0	0	0	0	0	0
16	chr10:11101001-12722000	SBS18	2	1	1	1	0	0	0	0	0	0	0	0	0
17	chr10:11101001-12722000	SBS3	2	1	2	0	0	0	0	0	0	0	0	0	0
18	chr10:111023001-112330000	SBS3	2	0	2	1	0	0	0	0	0	0	0	0	0
19	chr10:111023001-112330000	SBS5	2	0	1	0	0	0	0	0	0	0	0	0	0
20	chr10:1120001-3031000	SBS1	3	2	0	0	1	0	0	0	0	0	0	0	0
21	chr10:1120001-3031000	SBS2	3	2	0	0	3	0	0	0	0	0	0	0	0
22	chr10:1120001-3031000	SBS3	3	2	1	1	1	0	0	0	0	0	0	0	0
23	chr10:112330001-112815000	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0
24	chr10:112330001-112815000	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0
25	chr10:112815001-113653000	SBS18	2	0	1	0	0	0	0	0	0	0	0	0	0
26	chr10:112815001-113653000	SBS3	2	0	1	0	0	0	0	0	0	0	0	0	0
27	chr10:113653001-114979000	SBS1	1	0	1	0	0	0	0	0	0	0	0	0	0
28	chr10:113653001-114979000	SBS3	1	0	3	0	0	0	0	0	0	0	0	0	0
29	chr10:113653001-114979000	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0
30	chr10:114979001-119023000	SBS1	2	0	1	0	0	0	0	0	0	0	0	0	0
31	chr10:114979001-119023000	SBS18	2	0	2	1	0	0	0	0	0	0	0	0	0
32	chr10:114979001-119023000	SBS2	2	0	0	1	0	0	0	0	0	0	0	0	0
33	chr10:114979001-119023000	SBS3	2	0	7	4	0	0	0	0	0	0	0	0	0
34	chr10:119023001-119954000	SBS13	1	0	1	0	0	0	0	0	0	0	0	0	0
35	chr10:119023001-119954000	SBS3	1	0	3	0	0	0	0	0	0	0	0	0	0
36	chr10:119023001-119954000	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0
37	chr10:119954001-121733000	SBS1	2	0	1	0	0	0	0	0	0	0	0	0	0
38	chr10:119954001-121733000	SBS18	2	0	1	0	0	0	0	0	0	0	0	0	0
39	chr10:119954001-121733000	SBS2	2	0	1	0	0	0	0	0	0	0	0	0	0
40	chr10:119954001-121733000	SBS3	2	0	3	0	0	0	0	0	0	0	0	0	0
41	chr10:119954001-121733000	SBS5	2	0	1	0	0	0	0	0	0	0	0	0	0
42	chr10:122930001-123254000	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0
43	chr10:123254001-123992000	SBS3	2	0	2	1	0	0	0	0	0	0	0	0	0
44	chr10:123992001-125160500	SBS1	1	0	1	0	0	0	0	0	0	0	0	0	0
45	chr10:123992001-125160500	SBS18	1	0	1	0	0	0	0	0	0	0	0	0	0
46	chr10:123992001-125160500	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0
47	chr10:125692001-126128000	SBS1	1	0	2	0	0	0	0	0	0	0	0	0	0
48	chr10:125692001-126128000	SBS13	1	0	2	0	0	0	0	0	0	0	0	0	0
49	chr10:125692001-126128000	SBS3	1	0	5	0	0	0	0	0	0	0	0	0	0
50	chr10:125692001-126128000	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0
51	chr10:126128001-127854000	SBS1	2	0	1	0	0	0	0	0	0	0	0	0	0
52	chr10:126128001-127854000	SBS3	2	0	1	0	0	0	0	0	0	0	0	0	0
53	chr10:12722001-13582000	SBS1	2	2	1	0	0	0	0	0	0	0	0	0	0
54	chr10:12722001-13582000	SBS2	2	2	1	0	0	0	0	0	0	0	0	0	0
55	chr10:12722001-13582000	SBS3	2	2	2	1	0	0	0	0	0	0	0	0	0
56	chr10:12722001-13582000	SBS5	2	2	1	0	0	0	0	0	0	0	0	0	0
57	chr10:129020001-130106000	SBS18	2	0	0	1	0	0	0	0	0	0	0	0	0
58	chr10:130203001-132308000	SBS1	3	1	0	0	1	0	0	0	0	0	0	0	0
59	chr10:130203001-132308000	SBS3	3	1	0	1	5	0	0	0	0	0	0	0	0
60	chr10:130203001-132308000	SBS5	3	1	0	1	0	0	0	0	0	0	0	0	0
61	chr10:132704001-133228000	SBS3	3	1	0	1	1	0	0	0	0	0	0	0	0
