	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4	N5
0	chr10:1-33891968	SBS1	1	1	15	0	0	0	0
1	chr10:1-33891968	SBS100	1	1	7	0	0	0	0
2	chr10:1-33891968	SBS3	1	1	158	0	0	0	0
3	chr10:1-33891968	SBS5	1	1	2	0	0	0	0
4	chr10:129129861-133797422	SBS1	1	0	1	0	0	0	0
5	chr10:129129861-133797422	SBS100	1	0	1	0	0	0	0
6	chr10:129129861-133797422	SBS3	1	0	14	0	0	0	0
7	chr10:33894819-40640101	SBS1	1	1	2	0	0	0	0
8	chr10:33894819-40640101	SBS100	1	1	1	0	0	0	0
9	chr10:33894819-40640101	SBS3	1	1	23	0	0	0	0
10	chr10:40640102-49029456	SBS1	1	1	4	0	0	0	0
11	chr10:40640102-49029456	SBS3	1	1	27	0	0	0	0
12	chr10:49029459-61524000	SBS1	1	1	2	0	0	0	0
13	chr10:49029459-61524000	SBS100	1	1	3	0	0	0	0
14	chr10:49029459-61524000	SBS3	1	1	62	0	0	0	0
15	chr10:61524001-87863578	SBS1	1	0	6	0	0	0	0
16	chr10:61524001-87863578	SBS3	1	0	53	0	0	0	0
17	chr10:61524001-87863578	SBS5	1	0	2	0	0	0	0
18	chr10:87873089-129124918	SBS1	1	0	3	0	0	0	0
19	chr10:87873089-129124918	SBS100	1	0	6	0	0	0	0
20	chr10:87873089-129124918	SBS3	1	0	77	0	0	0	0
21	chr10:87873089-129124918	SBS5	1	0	1	0	0	0	0
22	chr11:1-830315	SBS3	1	0	2	0	0	0	0
23	chr11:123269510-124373744	SBS1	1	1	1	0	0	0	0
24	chr11:123269510-124373744	SBS3	1	1	3	0	0	0	0
25	chr11:124375265-125439463	SBS3	1	1	5	0	0	0	0
26	chr11:125439496-126489000	SBS3	1	1	5	0	0	0	0
27	chr11:126489001-127093858	SBS1	1	1	1	0	0	0	0
28	chr11:127094638-127350580	SBS3	1	1	1	0	0	0	0
29	chr11:127350581-135086622	SBS1	1	0	1	0	0	0	0
30	chr11:127350581-135086622	SBS3	1	0	27	0	0	0	0
31	chr11:34902380-43868700	SBS3	1	0	14	0	0	0	0
32	chr11:34902380-43868700	SBS5	1	0	1	0	0	0	0
33	chr11:43868701-45758000	SBS1	1	1	2	0	0	0	0
34	chr11:43868701-45758000	SBS3	1	1	9	0	0	0	0
35	chr11:45758001-47718000	SBS3	1	1	3	0	0	0	0
36	chr11:47718001-48714000	SBS1	2	1	1	0	0	0	0
37	chr11:47718001-48714000	SBS3	2	1	6	0	0	0	0
38	chr11:48714001-52751710	SBS1	2	1	1	0	0	0	0
39	chr11:48714001-52751710	SBS3	2	1	27	2	0	0	0
40	chr11:48714001-52751710	SBS5	2	1	1	0	0	0	0
41	chr11:52751711-54619495	SBS3	1	1	1	0	0	0	0
42	chr11:54619534-57727600	SBS3	1	1	13	0	0	0	0
43	chr11:57727601-58527427	SBS3	1	0	2	0	0	0	0
44	chr11:58530032-62576590	SBS3	1	0	7	0	0	0	0
45	chr11:6161479-6394598	SBS3	1	0	2	0	0	0	0
46	chr11:62841637-64846489	SBS100	1	1	1	0	0	0	0
47	chr11:62841637-64846489	SBS3	1	1	8	0	0	0	0
48	chr11:6394599-34889035	SBS1	1	0	3	0	0	0	0
49	chr11:6394599-34889035	SBS100	1	0	2	0	0	0	0
50	chr11:6394599-34889035	SBS3	1	0	63	0	0	0	0
51	chr11:6394599-34889035	SBS5	1	0	1	0	0	0	0
52	chr11:64934528-67046971	SBS3	1	1	6	0	0	0	0
53	chr11:67047150-68103843	SBS3	1	1	9	0	0	0	0
54	chr11:68138510-71175632	SBS1	1	1	1	0	0	0	0
55	chr11:68138510-71175632	SBS100	1	1	1	0	0	0	0
56	chr11:68138510-71175632	SBS3	1	1	5	0	0	0	0
57	chr11:71182813-97318785	SBS1	1	1	7	0	0	0	0
58	chr11:71182813-97318785	SBS100	1	1	5	0	0	0	0
59	chr11:71182813-97318785	SBS3	1	1	98	0	0	0	0
60	chr11:71182813-97318785	SBS5	1	1	3	0	0	0	0
61	chr11:830826-6161478	SBS1	1	0	1	0	0	0	0
62	chr11:830826-6161478	SBS100	1	0	3	0	0	0	0
63	chr11:830826-6161478	SBS3	1	0	10	0	0	0	0
64	chr11:97318822-123269496	SBS1	1	1	4	0	0	0	0
65	chr11:97318822-123269496	SBS100	1	1	5	0	0	0	0
66	chr11:97318822-123269496	SBS3	1	1	102	0	0	0	0
67	chr11:97318822-123269496	SBS5	1	1	3	0	0	0	0
68	chr12:1-258000	SBS3	2	1	1	0	0	0	0
69	chr12:113767696-125189000	SBS1	2	0	0	3	0	0	0
70	chr12:113767696-125189000	SBS100	2	0	1	0	0	0	0
71	chr12:113767696-125189000	SBS3	2	0	14	20	0	0	0
72	chr12:12192821-13128878	SBS3	2	1	1	0	0	0	0
73	chr12:125189001-126312517	SBS3	2	0	1	5	0	0	0
74	chr12:126312518-131609000	SBS3	1	0	31	0	0	0	0
75	chr12:126312518-131609000	SBS5	1	0	1	0	0	0	0
76	chr12:13130769-14455795	SBS100	2	1	0	1	0	0	0
77	chr12:13130769-14455795	SBS3	2	1	6	0	0	0	0
78	chr12:131609001-133275309	SBS3	2	0	4	2	0	0	0
79	chr12:14459604-16978000	SBS1	1	1	1	0	0	0	0
80	chr12:14459604-16978000	SBS3	1	1	8	0	0	0	0
81	chr12:16978001-22558355	SBS1	1	1	2	0	0	0	0
82	chr12:16978001-22558355	SBS3	1	1	17	0	0	0	0
83	chr12:1804001-6151000	SBS1	2	1	1	0	0	0	0
84	chr12:1804001-6151000	SBS100	2	1	2	1	0	0	0
85	chr12:1804001-6151000	SBS3	2	1	18	4	0	0	0
86	chr12:22560359-28292067	SBS1	1	1	1	0	0	0	0
87	chr12:22560359-28292067	SBS100	1	1	1	0	0	0	0
88	chr12:22560359-28292067	SBS3	1	1	18	0	0	0	0
89	chr12:258001-1804000	SBS1	2	1	1	0	0	0	0
90	chr12:258001-1804000	SBS3	2	1	3	2	0	0	0
