,segment_id,chromosome,start,end,file_path,t1,t2,averaged,solved,fully_solved,t1_norm,t2_norm,t1_norm_cumsum,t2_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:21348001-34434739,chr1,21348001,34434739,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,0,[1.0],13086738
1,chr1:151010001-182140000,chr1,151010001,182140000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5/2,,False,True,False,1.0,,1.0,,1,1,[1.0],31129999
2,chr2:1-242193529,chr2,1,242193529,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,51/2,,False,True,False,1.0,,1.0,,1,1,[1.0],242193528
3,chr3:98056001-141820996,chr3,98056001,141820996,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,13/2,,False,True,False,1.0,,1.0,,1,1,[1.0],43764995
4,chr4:8016001-108720000,chr4,8016001,108720000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,8,,False,True,False,1.0,,1.0,,1,1,[1.0],100703999
5,chr4:118839001-158273000,chr4,118839001,158273000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,5,0,False,True,False,1.0,0.0,1.0,1.0,2,1,"[1.0, 1.0]",39433999
6,chr5:1-180608000,chr5,1,180608000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,13,,False,True,False,1.0,,1.0,,1,1,[1.0],180607999
7,chr6:63274001-100423790,chr6,63274001,100423790,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,0,[1.0],37149789
8,chr7:59498944-141019000,chr7,59498944,141019000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,1,[1.0],81520056
9,chr7:144459001-158596000,chr7,144459001,158596000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,7,,False,True,False,1.0,,1.0,,1,1,[1.0],14136999
10,chr9:27776001-87898000,chr9,27776001,87898000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5,,False,True,False,1.0,,1.0,,1,1,[1.0],60121999
11,chr10:34112001-130200500,chr10,34112001,130200500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,11/2,,False,True,False,1.0,,1.0,,1,1,[1.0],96088499
12,chr11:35412001-82841000,chr11,35412001,82841000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9/2,,False,True,False,1.0,,1.0,,1,1,[1.0],47428999
13,chr11:95486112-116941000,chr11,95486112,116941000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,False,True,False,1.0,,1.0,,1,0,[1.0],21454888
14,chr12:33564001-50502000,chr12,33564001,50502000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5/2,,False,True,False,1.0,,1.0,,1,1,[1.0],16937999
15,chr12:125158001-131703000,chr12,125158001,131703000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,4/3,False,True,False,0.4285714285714286,0.5714285714285715,0.4285714285714286,1.0,2,1,"[0.4285714285714286, 1.0]",6544999
16,chr13:17025624-25699627,chr13,17025624,25699627,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,7,,False,True,False,1.0,,1.0,,1,0,[1.0],8674003
17,chr13:80808001-114364328,chr13,80808001,114364328,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,1,7/2,False,True,False,0.2222222222222222,0.7777777777777778,0.2222222222222222,1.0,2,0,"[0.2222222222222222, 1.0]",33556327
18,chr14:95344001-107043718,chr14,95344001,107043718,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,False,True,False,1.0,,1.0,,1,1,[1.0],11699717
19,chr15:62235504-98645000,chr15,62235504,98645000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,9,,False,True,False,1.0,,1.0,,1,0,[1.0],36409496
20,chr16:1-37295919,chr16,1,37295919,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,9/2,,False,True,False,1.0,,1.0,,1,1,[1.0],37295918
21,chr17:5493001-32571266,chr17,5493001,32571266,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,4,,False,True,False,1.0,,1.0,,1,1,[1.0],27078265
22,chr18:65212723-80373285,chr18,65212723,80373285,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,3,1/3,False,True,False,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.9999999999999999,2,1,"[0.8999999999999999, 0.9999999999999999]",15160562
23,chr19:1-58617616,chr19,1,58617616,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,1,[1.0],58617615
24,chr20:11292001-61979500,chr20,11292001,61979500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,6,10/3,False,True,False,0.6428571428571428,0.35714285714285715,0.6428571428571428,1.0,2,1,"[0.6428571428571428, 1.0]",50687499
