	chromosome	start	end	t1	t2	t3	t4	sum_t1_to_t1	sum_t1_to_t2	sum_t1_to_t3	sum_t1_to_t4	fully_solved	no_solution	tree_structure
0	chr20	13839001	28237289	2.5	0.0			2.5	2.5			True	False	2_1.1
1	chr19	19556757	25844926	2.5	0.0			2.5	2.5			True	False	2_1.1
2	chr15	25252501	36981502	1	4			1	5			True	False	2_0.1
3	chr20	28237290	31498000	1	1			1	2			True	False	2_1.1
4	chr1	33611434	38827000	0	0	5/4		0	0	5/4		True	False	3_1.1
5	chr22	35252001	38429667	0	0	5/3		0	0	5/3		True	False	3_0.1
6	chr19	50059488	55770500	2	2/3			2	8/3			True	False	2_1.1
7	chr14	100043977	105447494	0	0	1	1/2	0	0	1	3/2	True	False	4_0.1
8	chr14	100043977	105447494	0	t4 - 1/2	-2*t4 + 2	(1/2, 1)	0				False	False	4_0.2
9	chr12	119702001	125070117	0	5/2			0	5/2			True	False	2_0.1
10	chr11	131021001	135086622	5/2				5/2				True	False	1_1.1
11	chr3	164363123	169702000									False	True	6_3.10
12	chr3	164363123	169702000									False	True	6_3.11
13	chr3	164363123	169702000									False	True	6_3.12
14	chr3	164363123	169702000									False	True	6_3.13
15	chr3	164363123	169702000									False	True	6_3.14
16	chr3	164363123	169702000									False	True	6_3.15
17	chr3	164363123	169702000									False	True	6_3.16
18	chr3	164363123	169702000									False	True	6_3.17
19	chr3	164363123	169702000									False	True	6_3.18
20	chr3	164363123	169702000									False	True	6_3.19
21	chr3	164363123	169702000									False	True	6_3.1
22	chr3	164363123	169702000									False	True	6_3.20
23	chr3	164363123	169702000									False	True	6_3.21
24	chr3	164363123	169702000									False	True	6_3.22
25	chr3	164363123	169702000									False	True	6_3.23
26	chr3	164363123	169702000									False	True	6_3.24
27	chr3	164363123	169702000									False	True	6_3.25
28	chr3	164363123	169702000									False	True	6_3.26
29	chr3	164363123	169702000									False	True	6_3.27
30	chr3	164363123	169702000									False	True	6_3.28
31	chr3	164363123	169702000									False	True	6_3.29
32	chr3	164363123	169702000									False	True	6_3.2
33	chr3	164363123	169702000									False	True	6_3.30
34	chr3	164363123	169702000									False	True	6_3.31
35	chr3	164363123	169702000									False	True	6_3.32
36	chr3	164363123	169702000									False	True	6_3.33
37	chr3	164363123	169702000									False	True	6_3.34
38	chr3	164363123	169702000									False	True	6_3.35
39	chr3	164363123	169702000									False	True	6_3.36
40	chr3	164363123	169702000									False	True	6_3.37
41	chr3	164363123	169702000									False	True	6_3.38
42	chr3	164363123	169702000									False	True	6_3.39
43	chr3	164363123	169702000									False	True	6_3.3
44	chr3	164363123	169702000									False	True	6_3.40
45	chr3	164363123	169702000									False	True	6_3.41
46	chr3	164363123	169702000									False	True	6_3.42
47	chr3	164363123	169702000									False	True	6_3.43
48	chr3	164363123	169702000									False	True	6_3.44
49	chr3	164363123	169702000									False	True	6_3.45
50	chr3	164363123	169702000									False	True	6_3.46
51	chr3	164363123	169702000									False	True	6_3.47
52	chr3	164363123	169702000									False	True	6_3.48
53	chr3	164363123	169702000									False	True	6_3.49
54	chr3	164363123	169702000									False	True	6_3.4
55	chr3	164363123	169702000									False	True	6_3.50
56	chr3	164363123	169702000									False	True	6_3.51
57	chr3	164363123	169702000									False	True	6_3.52
58	chr3	164363123	169702000									False	True	6_3.53
59	chr3	164363123	169702000									False	True	6_3.54
60	chr3	164363123	169702000									False	True	6_3.55
61	chr3	164363123	169702000									False	True	6_3.56
62	chr3	164363123	169702000									False	True	6_3.57
63	chr3	164363123	169702000									False	True	6_3.58
64	chr3	164363123	169702000									False	True	6_3.59
65	chr3	164363123	169702000									False	True	6_3.5
66	chr3	164363123	169702000									False	True	6_3.60
67	chr3	164363123	169702000									False	True	6_3.61
68	chr3	164363123	169702000									False	True	6_3.62
69	chr3	164363123	169702000									False	True	6_3.63
70	chr3	164363123	169702000									False	True	6_3.64
71	chr3	164363123	169702000									False	True	6_3.65
72	chr3	164363123	169702000									False	True	6_3.66
73	chr3	164363123	169702000									False	True	6_3.67
74	chr3	164363123	169702000									False	True	6_3.68
75	chr3	164363123	169702000									False	True	6_3.69
76	chr3	164363123	169702000									False	True	6_3.6
77	chr3	164363123	169702000									False	True	6_3.70
78	chr3	164363123	169702000									False	True	6_3.71
79	chr3	164363123	169702000									False	True	6_3.72
80	chr3	164363123	169702000									False	True	6_3.73
81	chr3	164363123	169702000									False	True	6_3.74
82	chr3	164363123	169702000									False	True	6_3.75
83	chr3	164363123	169702000									False	True	6_3.76
84	chr3	164363123	169702000									False	True	6_3.77
85	chr3	164363123	169702000									False	True	6_3.78
86	chr3	164363123	169702000									False	True	6_3.79
87	chr3	164363123	169702000									False	True	6_3.7
88	chr3	164363123	169702000									False	True	6_3.80
89	chr3	164363123	169702000									False	True	6_3.81
90	chr3	164363123	169702000									False	True	6_3.82
91	chr3	164363123	169702000									False	True	6_3.83
92	chr3	164363123	169702000									False	True	6_3.84
93	chr3	164363123	169702000									False	True	6_3.85
94	chr3	164363123	169702000									False	True	6_3.86
95	chr3	164363123	169702000									False	True	6_3.87
96	chr3	164363123	169702000									False	True	6_3.88
97	chr3	164363123	169702000									False	True	6_3.89
98	chr3	164363123	169702000									False	True	6_3.8
99	chr3	164363123	169702000									False	True	6_3.90
100	chr3	164363123	169702000									False	True	6_3.91
101	chr3	164363123	169702000									False	True	6_3.92
102	chr3	164363123	169702000									False	True	6_3.93
103	chr3	164363123	169702000									False	True	6_3.94
104	chr3	164363123	169702000									False	True	6_3.95
105	chr3	164363123	169702000									False	True	6_3.96
106	chr3	164363123	169702000									False	True	6_3.97
107	chr3	164363123	169702000									False	True	6_3.9
