,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:32032142-56114000,chr1,32032142,56114000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,5,,,,False,True,False,0.2857142857142857,0.7142857142857143,,,,0.2857142857142857,1.0,,,,2,0,"[0.2857142857142857, 1.0]",24081858
1,chr1:77690748-105144000,chr1,77690748,105144000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,7/2,,,,False,True,False,0.36363636363636365,0.6363636363636364,,,,0.36363636363636365,1.0,,,,2,0,"[0.36363636363636365, 1.0]",27453252
2,chr1:236030037-246772287,chr1,236030037,246772287,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,1,1,3/4,,,False,True,False,0.36363636363636365,0.36363636363636365,0.2727272727272727,,,0.36363636363636365,0.7272727272727273,1.0,,,3,1,"[0.36363636363636365, 0.7272727272727273, 1.0]",10742250
3,chr2:48623001-55433592,chr2,48623001,55433592,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,0,0,5/3,,,False,True,False,0.0,0.0,1.0,,,0.0,0.0,1.0,,,3,0,"[0.0, 0.0, 1.0]",6810591
4,chr2:182773487-189196118,chr2,182773487,189196118,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,3.0,0.0,,,,False,True,False,1.0,0.0,,,,1.0,1.0,,,,2,1,"[1.0, 1.0]",6422631
5,chr2:207445713-216895022,chr2,207445713,216895022,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,2,,,,False,True,False,0.3333333333333333,0.6666666666666666,,,,0.3333333333333333,1.0,,,,2,1,"[0.3333333333333333, 1.0]",9449309
6,chr2:219030918-231662364,chr2,219030918,231662364,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,1,1,1/4,,,False,True,False,0.4444444444444444,0.4444444444444444,0.1111111111111111,,,0.4444444444444444,0.8888888888888888,1.0,,,3,1,"[0.4444444444444444, 0.8888888888888888, 1.0]",12631446
7,chr3:9915501-47726976,chr3,9915501,47726976,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,3,0,11/3,,,False,True,False,0.45000000000000007,0.0,0.55,,,0.45000000000000007,0.45000000000000007,1.0,,,3,0,"[0.45000000000000007, 0.45000000000000007, 1.0]",37811475
8,chr3:105771001-131605968,chr3,105771001,131605968,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.375,2.25,1.125,,,True,True,False,0.2894736842105263,0.47368421052631576,0.23684210526315788,,,0.2894736842105263,0.763157894736842,0.9999999999999999,,,2,2,"[0.2894736842105263, 0.763157894736842, 0.9999999999999999]",25834967
9,chr3:149975001-170106121,chr3,149975001,170106121,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.625,0.75,0.375,,,True,True,False,0.7,0.2,0.1,,,0.7,0.8999999999999999,0.9999999999999999,,,2,2,"[0.7, 0.8999999999999999, 0.9999999999999999]",20131120
