,segment_id,chromosome,start,end,file_path,t1,t2,t3,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:16507398-54699357,chr1,16507398,54699357,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,7/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],38191959
1,chr1:63729760-219698155,chr1,63729760,219698155,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,22,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],155968395
2,chr1:222752807-227942329,chr1,222752807,227942329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,5/3,,False,True,False,0.0,1.0,,0.0,1.0,,2,1,"[0.0, 1.0]",5189522
3,chr1:228357001-236142161,chr1,228357001,236142161,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,0,5/2,,False,True,False,0.0,1.0,,0.0,1.0,,2,0,"[0.0, 1.0]",7785160
4,chr2:1-27681000,chr2,1,27681000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,7/3,,False,True,False,0.46153846153846145,0.5384615384615384,,0.46153846153846145,0.9999999999999999,,2,1,"[0.46153846153846145, 0.9999999999999999]",27680999
5,chr2:43366383-128403702,chr2,43366383,128403702,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,17,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],85037319
6,chr2:128421790-170613907,chr2,128421790,170613907,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,7,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],42192117
7,chr2:181135169-236694000,chr2,181135169,236694000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,8,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],55558831
8,chr3:1-22501193,chr3,1,22501193,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,1,3,,False,True,False,0.25,0.75,,0.25,1.0,,2,0,"[0.25, 1.0]",22501192
9,chr3:32488392-70100270,chr3,32488392,70100270,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,11,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],37611878
10,chr3:70100271-137401375,chr3,70100271,137401375,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,14,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],67301104
11,chr3:137401376-185751780,chr3,137401376,185751780,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,16/3,,False,True,False,0.27272727272727276,0.7272727272727273,,0.27272727272727276,1.0,,2,1,"[0.27272727272727276, 1.0]",48350404
12,chr3:185751781-198295559,chr3,185751781,198295559,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,0,1,5/4,False,True,False,0.0,0.4444444444444444,0.5555555555555556,0.0,0.4444444444444444,1.0,3,1,"[0.0, 0.4444444444444444, 1.0]",12543778
