,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:67933110-118897252,chr1,67933110,118897252,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.5_solutions_downsized.sobj,2.37174973,1.0847822799999998,0.0,0.0,0.0,False,True,False,0.6861645496521817,0.3138354503478184,0.0,0.0,0.0,0.6861645496521817,1.0,1.0,1.0,1.0,4,2,"[0.6861645496521817, 1.0, 1.0, 1.0, 1.0]",50964142
1,chr1:151662292-170758593,chr1,151662292,170758593,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//5_1.3_solutions_downsized.sobj,1.79844693,1.00032482,0.10004005000000005,0.0,0.0,False,True,False,0.6204083100531051,0.3450809811109503,0.034510708835944454,0.0,0.0,0.6204083100531051,0.9654892911640555,0.9999999999999999,0.9999999999999999,0.9999999999999999,5,1,"[0.6204083100531051, 0.9654892911640555, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",19096301
2,chr1:172673001-192472000,chr1,172673001,192472000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,4,1/3,,,,False,True,False,0.9230769230769231,0.07692307692307693,,,,0.9230769230769231,1.0,,,,2,1,"[0.9230769230769231, 1.0]",19798999
3,chr2:20615956-45804164,chr2,20615956,45804164,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,4/3,,,,False,True,False,0.4285714285714286,0.5714285714285715,,,,0.4285714285714286,1.0,,,,2,1,"[0.4285714285714286, 1.0]",25188208
4,chr2:50524680-60616000,chr2,50524680,60616000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.25,0.5,0.25,,,True,True,False,0.625,0.25,0.125,,,0.625,0.875,1.0,,,2,2,"[0.625, 0.875, 1.0]",10091320
5,chr2:61206755-89209588,chr2,61206755,89209588,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,7.5,0.0,,,,False,True,False,1.0,0.0,,,,1.0,1.0,,,,2,1,"[1.0, 1.0]",28002833
6,chr2:204285001-241700715,chr2,204285001,241700715,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,6,1,,,,False,True,False,0.8571428571428571,0.14285714285714285,,,,0.8571428571428571,1.0,,,,2,0,"[0.8571428571428571, 1.0]",37415714
7,chr3:11313579-48532354,chr3,11313579,48532354,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,3/2,,,,False,True,False,0.5714285714285714,0.42857142857142855,,,,0.5714285714285714,1.0,,,,2,0,"[0.5714285714285714, 1.0]",37218775
8,chr3:90301001-130441387,chr3,90301001,130441387,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,6,2/3,,,,False,True,False,0.8999999999999999,0.09999999999999999,,,,0.8999999999999999,0.9999999999999999,,,,2,1,"[0.8999999999999999, 0.9999999999999999]",40140386
9,chr4:11009967-141498574,chr4,11009967,141498574,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,6,13/2,,,,False,True,False,0.48,0.52,,,,0.48,1.0,,,,2,0,"[0.48, 1.0]",130488607
10,chr4:141498575-171673017,chr4,141498575,171673017,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_0.1_solutions_downsized.sobj,0.99968699,1.78762975,0.80808961,0.0,,False,True,False,0.27804562062922317,0.4971982513186583,0.2247561280521185,0.0,,0.27804562062922317,0.7752438719478815,1.0,1.0,,4,0,"[0.27804562062922317, 0.7752438719478815, 1.0, 1.0]",30174442
11,chr5:1966211-9232711,chr5,1966211,9232711,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//7_1.27_solutions_downsized.sobj,,,,,,,False,False,,,,,,,,,,,7,1,[],7266500
12,chr5:10114299-25041586,chr5,10114299,25041586,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//7_1.18_solutions_downsized.sobj,,,,,,,False,False,,,,,,,,,,,7,1,[],14927287
13,chr5:68947001-109233813,chr5,68947001,109233813,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,1,,,,False,True,False,0.6666666666666666,0.3333333333333333,,,,0.6666666666666666,1.0,,,,2,1,"[0.6666666666666666, 1.0]",40286812
14,chr5:155519355-181538259,chr5,155519355,181538259,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,2,1,2/3,,,False,True,False,0.5454545454545455,0.27272727272727276,0.18181818181818182,,,0.5454545454545455,0.8181818181818183,1.0000000000000002,,,3,0,"[0.5454545454545455, 0.8181818181818183, 1.0000000000000002]",26018904
15,chr6:61800423-105315000,chr6,61800423,105315000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,0.25,0.5,1.0,,,True,True,False,0.14285714285714285,0.2857142857142857,0.5714285714285714,,,0.14285714285714285,0.42857142857142855,1.0,,,2,2,"[0.14285714285714285, 0.42857142857142855, 1.0]",43514577
16,chr6:148174001-170805979,chr6,148174001,170805979,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,1,4,,,,False,True,False,0.2,0.8,,,,0.2,1.0,,,,2,0,"[0.2, 1.0]",22631978
17,chr7:6395001-45851762,chr7,6395001,45851762,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.125,0.75,0.375,,,True,True,False,0.6538461538461539,0.23076923076923078,0.11538461538461539,,,0.6538461538461539,0.8846153846153846,1.0,,,2,2,"[0.6538461538461539, 0.8846153846153846, 1.0]",39456761
18,chr7:91161442-127577000,chr7,91161442,127577000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,4.25,1.5,0.75,,,True,True,False,0.6538461538461539,0.23076923076923078,0.11538461538461539,,,0.6538461538461539,0.8846153846153846,1.0,,,2,2,"[0.6538461538461539, 0.8846153846153846, 1.0]",36415558
19,chr7:128451404-152851000,chr7,128451404,152851000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.1_solutions_downsized.sobj,5.0,0.25,0.5,1.05,,True,True,False,0.7352941176470589,0.03676470588235294,0.07352941176470588,0.15441176470588236,,0.7352941176470589,0.7720588235294118,0.8455882352941176,1.0,,3,2,"[0.7352941176470589, 0.7720588235294118, 0.8455882352941176, 1.0]",24399596
