,segment_id,chromosome,start,end,file_path,averaged,solved,fully_solved,t1,t2,t3,t4,t5,t6,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t6_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,t6_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:160446101-183476059,chr1,160446101,183476059,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_1.6_solutions_downsized.sobj,,False,False,,,,,,,,,,,,,,,,,,,6,1,[],23029958
1,chr2:33618001-93139350,chr2,33618001,93139350,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,6,1/3,,,,,0.9473684210526316,0.05263157894736842,,,,,0.9473684210526316,1.0,,,,,2,1,"[0.9473684210526316, 1.0]",59521349
2,chr3:15806156-50690000,chr3,15806156,50690000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,False,True,False,2,1,4/3,,,,0.46153846153846156,0.23076923076923078,0.3076923076923077,,,,0.46153846153846156,0.6923076923076923,1.0,,,,3,0,"[0.46153846153846156, 0.6923076923076923, 1.0]",34883844
3,chr3:90266001-92214015,chr3,90266001,92214015,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,False,True,False,6,,,,,,1.0,,,,,,1.0,,,,,,1,0,[1.0],1948014
4,chr3:102681001-192793000,chr3,102681001,192793000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,10,0,,,,,1.0,0.0,,,,,1.0,1.0,,,,,2,1,"[1.0, 1.0]",90111999
5,chr4:41685001-64713129,chr4,41685001,64713129,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,7,0,,,,,1.0,0.0,,,,,1.0,1.0,,,,,2,1,"[1.0, 1.0]",23028128
6,chr5:17453001-26755492,chr5,17453001,26755492,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,False,True,False,5,,,,,,1.0,,,,,,1.0,,,,,,1,0,[1.0],9302491
7,chr5:153977001-181538259,chr5,153977001,181538259,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,False,True,False,3,7/2,,,,,0.46153846153846156,0.5384615384615384,,,,,0.46153846153846156,1.0,,,,,2,0,"[0.46153846153846156, 1.0]",27561258
8,chr7:16336001-56234000,chr7,16336001,56234000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,True,True,False,4.125,0.75,0.375,,,,0.7857142857142857,0.14285714285714285,0.07142857142857142,,,,0.7857142857142857,0.9285714285714286,1.0,,,,2,2,"[0.7857142857142857, 0.9285714285714286, 1.0]",39897999
9,chr7:62542001-129739000,chr7,62542001,129739000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,10,4/3,,,,,0.8823529411764706,0.1176470588235294,,,,,0.8823529411764706,1.0,,,,,2,1,"[0.8823529411764706, 1.0]",67196999
10,chr7:149878855-155483377,chr7,149878855,155483377,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,2,1,,,,,0.6666666666666666,0.3333333333333333,,,,,0.6666666666666666,1.0,,,,,2,1,"[0.6666666666666666, 1.0]",5604522
11,chr8:116848547-124684347,chr8,116848547,124684347,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.10_solutions_downsized.sobj,,False,False,,,,,,,,,,,,,,,,,,,6,0,[],7835800
12,chr8:116848547-124684347,chr8,116848547,124684347,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.2_solutions_downsized.sobj,True,True,False,0.0,0.0,0.0,0.9166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.7857142857142857,0.9285714285714286,1.0,6,0,"[0.0, 0.0, 0.0, 0.7857142857142857, 0.9285714285714286, 1.0]",7835800
13,chr8:116848547-124684347,chr8,116848547,124684347,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.4_solutions_downsized.sobj,True,True,False,0.0,0.0,0.0,0.9166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.7857142857142857,0.9285714285714286,1.0,6,0,"[0.0, 0.0, 0.0, 0.7857142857142857, 0.9285714285714286, 1.0]",7835800
14,chr8:116848547-124684347,chr8,116848547,124684347,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.6_solutions_downsized.sobj,,False,False,,,,,,,,,,,,,,,,,,,6,0,[],7835800
15,chr8:116848547-124684347,chr8,116848547,124684347,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.7_solutions_downsized.sobj,True,True,False,0.0,0.0,0.0,0.9166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.7857142857142857,0.9285714285714286,1.0,6,0,"[0.0, 0.0, 0.0, 0.7857142857142857, 0.9285714285714286, 1.0]",7835800
16,chr8:116848547-124684347,chr8,116848547,124684347,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_0.8_solutions_downsized.sobj,,False,False,,,,,,,,,,,,,,,,,,,6,0,[],7835800
17,chr9:44377363-68603691,chr9,44377363,68603691,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,True,True,False,0.25,0.5,1.0,,,,0.14285714285714285,0.2857142857142857,0.5714285714285714,,,,0.14285714285714285,0.42857142857142855,1.0,,,,2,2,"[0.14285714285714285, 0.42857142857142855, 1.0]",24226328
18,chr9:101764001-138394717,chr9,101764001,138394717,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,False,True,False,3,5/2,,,,,0.5454545454545454,0.45454545454545453,,,,,0.5454545454545454,1.0,,,,,2,0,"[0.5454545454545454, 1.0]",36630716
19,chr10:67903060-81188000,chr10,67903060,81188000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,3.5,0.0,,,,,1.0,0.0,,,,,1.0,1.0,,,,,2,1,"[1.0, 1.0]",13284940
20,chr10:130258001-133797422,chr10,130258001,133797422,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,3.5,0.0,,,,,1.0,0.0,,,,,1.0,1.0,,,,,2,1,"[1.0, 1.0]",3539421
21,chr11:41776717-47923030,chr11,41776717,47923030,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,True,True,False,1.125,0.75,0.375,,,,0.5,0.3333333333333333,0.16666666666666666,,,,0.5,0.8333333333333333,0.9999999999999999,,,,2,2,"[0.5, 0.8333333333333333, 0.9999999999999999]",6146313
22,chr12:2688001-11539000,chr12,2688001,11539000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.2_solutions_downsized.sobj,False,True,False,1.000135668,1.000024352,0.0,0.0,,,0.5000278267735798,0.4999721732264202,0.0,0.0,,,0.5000278267735798,1.0,1.0,1.0,,,3,2,"[0.5000278267735798, 1.0, 1.0, 1.0]",8850999
23,chr12:32936001-47435000,chr12,32936001,47435000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,3.0,0.0,,,,,1.0,0.0,,,,,1.0,1.0,,,,,2,1,"[1.0, 1.0]",14498999
24,chr12:80234001-101617873,chr12,80234001,101617873,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,False,True,False,4,1/2,,,,,0.8888888888888888,0.1111111111111111,,,,,0.8888888888888888,1.0,,,,,2,0,"[0.8888888888888888, 1.0]",21383872
25,chr13:99569001-114364328,chr13,99569001,114364328,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,False,True,False,3,1,2/3,,,,0.6428571428571428,0.21428571428571427,0.14285714285714285,,,,0.6428571428571428,0.8571428571428571,1.0,,,,3,0,"[0.6428571428571428, 0.8571428571428571, 1.0]",14795327
26,chr14:35423001-107043718,chr14,35423001,107043718,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,False,True,False,3,15/2,,,,,0.2857142857142857,0.7142857142857143,,,,,0.2857142857142857,1.0,,,,,2,0,"[0.2857142857142857, 1.0]",71620717
27,chr15:73735246-94473000,chr15,73735246,94473000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,3.5,0.0,,,,,1.0,0.0,,,,,1.0,1.0,,,,,2,1,"[1.0, 1.0]",20737754
28,chr16:5141001-8561000,chr16,5141001,8561000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,False,True,False,5/2,,,,,,1.0,,,,,,1.0,,,,,,1,1,[1.0],3419999
29,chr17:45507501-79093000,chr17,45507501,79093000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_0.1_solutions_downsized.sobj,False,True,False,1,0,1,2,,,0.25,0.0,0.25,0.5,,,0.25,0.25,0.5,1.0,,,4,0,"[0.25, 0.25, 0.5, 1.0]",33585499
30,chr17:45507501-79093000,chr17,45507501,79093000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_0.2_solutions_downsized.sobj,True,True,False,1.0,0.25,0.5,2.25,,,0.25,0.0625,0.125,0.5625,,,0.25,0.3125,0.4375,1.0,,,4,0,"[0.25, 0.3125, 0.4375, 1.0]",33585499
31,chr19:6528633-14580000,chr19,6528633,14580000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.1_solutions_downsized.sobj,False,True,False,1.0,0.0,0.0,1.0,,,0.5,0.0,0.0,0.5,,,0.5,0.5,0.5,1.0,,,3,2,"[0.5, 0.5, 0.5, 1.0]",8051367
32,chr19:6528633-14580000,chr19,6528633,14580000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.2_solutions_downsized.sobj,True,True,False,0.5,0.5,0.5,0.5,,,0.25,0.25,0.25,0.25,,,0.25,0.5,0.75,1.0,,,3,2,"[0.25, 0.5, 0.75, 1.0]",8051367
33,chr19:34948001-55056000,chr19,34948001,55056000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,False,True,False,3,0,11/3,,,,0.45000000000000007,0.0,0.55,,,,0.45000000000000007,0.45000000000000007,1.0,,,,3,0,"[0.45000000000000007, 0.45000000000000007, 1.0]",20107999
34,chr20:23716001-31458000,chr20,23716001,31458000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,4,1/3,,,,,0.9230769230769231,0.07692307692307693,,,,,0.9230769230769231,1.0,,,,,2,1,"[0.9230769230769231, 1.0]",7741999
35,chr21:1-17859000,chr21,1,17859000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,1,4/3,,,,,0.4285714285714286,0.5714285714285715,,,,,0.4285714285714286,1.0,,,,,2,1,"[0.4285714285714286, 1.0]",17858999
36,chr21:26956680-39623000,chr21,26956680,39623000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,False,True,False,2,1/3,,,,,0.8571428571428571,0.14285714285714285,,,,,0.8571428571428571,1.0,,,,,2,1,"[0.8571428571428571, 1.0]",12666320
37,chr22:39808001-47961972,chr22,39808001,47961972,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.2_solutions_downsized.sobj,False,True,False,2.1620682020000004,1.558604958,0.0,0.0,,,0.5810959761915772,0.41890402380842284,0.0,0.0,,,0.5810959761915772,1.0,1.0,1.0,,,3,2,"[0.5810959761915772, 1.0, 1.0, 1.0]",8153971
